model,seed,param,episode,return,length,success
c,0,0.5,24,0.0,500,0.0
c,0,0.5,25,943.0,500,0.0
c,0,0.5,26,0.0,500,0.0
c,0,0.5,27,0.0,500,0.0
c,0,0.5,28,1000.0,500,0.0
c,0,0.5,29,945.0,500,0.0
c,0,1.0,0,932.0,500,0.0
c,0,1.0,1,833.0,500,0.0
c,0,1.0,2,938.0,500,0.0
c,0,1.0,3,930.0,500,0.0
c,0,1.0,4,942.0,500,0.0
c,0,1.0,5,940.0,500,0.0
c,0,1.0,6,941.0,500,0.0
c,0,1.0,7,0.0,500,0.0
c,0,1.0,8,0.0,500,0.0
c,0,1.0,9,878.0,500,0.0
c,0,1.0,10,0.0,500,0.0
c,0,1.0,11,981.0,500,0.0
c,0,1.0,12,935.0,500,0.0
c,0,1.0,13,0.0,500,0.0
c,0,1.0,14,0.0,500,0.0
c,0,1.0,15,0.0,500,0.0
c,0,1.0,16,0.0,500,0.0
c,0,1.0,17,0.0,500,0.0
c,0,1.0,18,0.0,500,0.0
c,0,1.0,19,0.0,500,0.0
c,0,1.0,20,0.0,500,0.0
c,0,1.0,21,0.0,500,0.0
c,0,1.0,22,937.0,500,0.0
c,0,1.0,23,0.0,500,0.0
c,0,1.0,24,0.0,500,0.0
c,0,1.0,25,940.0,500,0.0
c,0,1.0,26,0.0,500,0.0
c,0,1.0,27,0.0,500,0.0
c,0,1.0,28,1000.0,500,0.0
c,0,1.0,29,943.0,500,0.0
c,0,1.5,0,929.0,500,0.0
c,0,1.5,1,722.0,500,0.0
c,0,1.5,2,935.0,500,0.0
c,0,1.5,3,928.0,500,0.0
c,0,1.5,4,873.0,500,0.0
c,0,1.5,5,817.0,500,0.0
c,0,1.5,6,873.0,500,0.0
c,0,1.5,7,0.0,500,0.0
c,0,1.5,8,0.0,500,0.0
c,0,1.5,9,872.0,500,0.0
c,0,1.5,10,0.0,500,0.0
c,0,1.5,11,917.0,500,0.0
c,0,1.5,12,932.0,500,0.0
c,0,1.5,13,0.0,500,0.0
c,0,1.5,14,0.0,500,0.0
c,0,1.5,15,0.0,500,0.0
c,0,1.5,16,0.0,500,0.0
c,0,1.5,17,0.0,500,0.0
c,0,1.5,18,0.0,500,0.0
c,0,1.5,19,0.0,500,0.0
c,0,1.5,20,0.0,500,0.0
c,0,1.5,21,0.0,500,0.0
c,0,1.5,22,870.0,500,0.0
c,0,1.5,23,0.0,500,0.0
c,0,1.5,24,0.0,500,0.0
c,0,1.5,25,885.0,500,0.0
c,0,1.5,26,0.0,500,0.0
c,0,1.5,27,0.0,500,0.0
c,0,1.5,28,884.0,500,0.0
c,0,1.5,29,800.0,500,0.0
c,0,2.0,0,774.0,500,0.0
c,0,2.0,1,613.0,500,0.0
c,0,2.0,2,779.0,500,0.0
c,0,2.0,3,773.0,500,0.0
c,0,2.0,4,798.0,500,0.0
c,0,2.0,5,665.0,500,0.0
c,0,2.0,6,799.0,500,0.0
c,0,2.0,7,0.0,500,0.0
c,0,2.0,8,0.0,500,0.0
c,0,2.0,9,719.0,500,0.0
c,0,2.0,10,0.0,500,0.0
c,0,2.0,11,917.0,500,0.0
c,0,2.0,12,626.0,500,0.0
c,0,2.0,13,0.0,500,0.0
c,0,2.0,14,0.0,500,0.0
c,0,2.0,15,0.0,500,0.0
c,0,2.0,16,0.0,500,0.0
c,0,2.0,17,0.0,500,0.0
c,0,2.0,18,0.0,500,0.0
c,0,2.0,19,0.0,500,0.0
c,0,2.0,20,0.0,500,0.0
c,0,2.0,21,0.0,500,0.0
c,0,2.0,22,796.0,500,0.0
c,0,2.0,23,0.0,500,0.0
c,0,2.0,24,0.0,500,0.0
c,0,2.0,25,815.0,500,0.0
c,0,2.0,26,0.0,500,0.0
c,0,2.0,27,0.0,500,0.0
c,0,2.0,28,757.0,500,0.0
c,0,2.0,29,797.0,500,0.0
c,0,2.5,0,160.0,500,0.0
c,0,2.5,1,81.0,500,0.0
c,0,2.5,2,161.0,500,0.0
c,0,2.5,3,153.0,500,0.0
c,0,2.5,4,164.0,500,0.0
c,0,2.5,5,125.0,500,0.0
c,0,2.5,6,155.0,500,0.0
c,0,2.5,7,0.0,500,0.0
c,0,2.5,8,0.0,500,0.0
c,0,2.5,9,117.0,500,0.0
c,0,2.5,10,0.0,500,0.0
c,0,2.5,11,152.0,500,0.0
c,0,2.5,12,154.0,500,0.0
c,0,2.5,13,0.0,500,0.0
c,0,2.5,14,0.0,500,0.0
c,0,2.5,15,0.0,500,0.0
c,0,2.5,16,0.0,500,0.0
c,0,2.5,17,0.0,500,0.0
c,0,2.5,18,0.0,500,0.0
c,0,2.5,19,0.0,500,0.0
c,0,2.5,20,0.0,500,0.0
c,0,2.5,21,0.0,500,0.0
c,0,2.5,22,157.0,500,0.0
c,0,2.5,23,0.0,500,0.0
c,0,2.5,24,0.0,500,0.0
c,0,2.5,25,151.0,500,0.0
c,0,2.5,26,0.0,500,0.0
c,0,2.5,27,0.0,500,0.0
c,0,2.5,28,179.0,500,0.0
c,0,2.5,29,145.0,500,0.0
o,0,0.5,0,982.0,500,0.0
o,0,0.5,1,945.0,500,0.0
o,0,0.5,2,945.0,500,0.0
o,0,0.5,3,985.0,500,0.0
o,0,0.5,4,942.0,500,0.0
o,0,0.5,5,949.0,500,0.0
o,0,0.5,6,939.0,500,0.0
o,0,0.5,7,870.0,500,0.0
o,0,0.5,8,834.0,500,0.0
o,0,0.5,9,947.0,500,0.0
o,0,0.5,10,907.0,500,0.0
o,0,0.5,11,994.0,500,0.0
o,0,0.5,12,939.0,500,0.0
o,0,0.5,13,868.0,500,0.0
o,0,0.5,14,867.0,500,0.0
o,0,0.5,15,869.0,500,0.0
o,0,0.5,16,833.0,500,0.0
o,0,0.5,17,900.0,500,0.0
o,0,0.5,18,907.0,500,0.0
o,0,0.5,19,869.0,500,0.0
o,0,0.5,20,837.0,500,0.0
o,0,0.5,21,907.0,500,0.0
o,0,0.5,22,989.0,500,0.0
o,0,0.5,23,907.0,500,0.0
o,0,0.5,24,871.0,500,0.0
o,0,0.5,25,948.0,500,0.0
o,0,0.5,26,869.0,500,0.0
o,0,0.5,27,858.0,500,0.0
o,0,0.5,28,1000.0,500,0.0
o,0,0.5,29,943.0,500,0.0
o,0,1.0,0,936.0,500,0.0
o,0,1.0,1,892.0,500,0.0
o,0,1.0,2,944.0,500,0.0
o,0,1.0,3,935.0,500,0.0
o,0,1.0,4,941.0,500,0.0
o,0,1.0,5,942.0,500,0.0
o,0,1.0,6,939.0,500,0.0
o,0,1.0,7,732.0,500,0.0
o,0,1.0,8,0.0,500,0.0
o,0,1.0,9,944.0,500,0.0
o,0,1.0,10,809.0,500,0.0
o,0,1.0,11,981.0,500,0.0
o,0,1.0,12,940.0,500,0.0
o,0,1.0,13,735.0,500,0.0
o,0,1.0,14,734.0,500,0.0
o,0,1.0,15,735.0,500,0.0
