model,seed,param,episode,return,length,success
o,2,1.0,0,938.0,500,0.0
o,2,1.0,1,703.0,500,0.0
o,2,1.0,2,939.0,500,0.0
o,2,1.0,3,938.0,500,0.0
o,2,1.0,4,940.0,500,0.0
o,2,1.0,5,892.0,500,0.0
o,2,1.0,6,809.0,500,0.0
o,2,1.0,7,944.0,500,0.0
o,2,1.0,8,895.0,500,0.0
o,2,1.0,9,848.0,500,0.0
o,2,1.0,10,944.0,500,0.0
o,2,1.0,11,981.0,500,0.0
o,2,1.0,12,773.0,500,0.0
o,2,1.0,13,1000.0,500,0.0
o,2,1.0,14,810.0,500,0.0
o,2,1.0,15,804.0,500,0.0
o,2,1.0,16,772.0,500,0.0
o,2,1.0,17,1000.0,500,0.0
o,2,1.0,18,770.0,500,0.0
o,2,1.0,19,736.0,500,0.0
o,2,1.0,20,1000.0,500,0.0
o,2,1.0,21,724.0,500,0.0
o,2,1.0,22,939.0,500,0.0
o,2,1.0,23,736.0,500,0.0
o,2,1.0,24,771.0,500,0.0
o,2,1.0,25,942.0,500,0.0
o,2,1.0,26,846.0,500,0.0
o,2,1.0,27,731.0,500,0.0
o,2,1.0,28,799.0,500,0.0
o,2,1.0,29,940.0,500,0.0
o,2,1.5,0,937.0,500,0.0
o,2,1.5,1,530.0,500,0.0
o,2,1.5,2,935.0,500,0.0
o,2,1.5,3,937.0,500,0.0
o,2,1.5,4,939.0,500,0.0
o,2,1.5,5,887.0,500,0.0
o,2,1.5,6,709.0,500,0.0
o,2,1.5,7,939.0,500,0.0
o,2,1.5,8,838.0,500,0.0
o,2,1.5,9,794.0,500,0.0
o,2,1.5,10,938.0,500,0.0
o,2,1.5,11,931.0,500,0.0
o,2,1.5,12,634.0,500,0.0
o,2,1.5,13,1000.0,500,0.0
o,2,1.5,14,716.0,500,0.0
o,2,1.5,15,755.0,500,0.0
o,2,1.5,16,678.0,500,0.0
o,2,1.5,17,1000.0,500,0.0
o,2,1.5,18,677.0,500,0.0
o,2,1.5,19,605.0,500,0.0
o,2,1.5,20,1000.0,500,0.0
o,2,1.5,21,562.0,500,0.0
o,2,1.5,22,938.0,500,0.0
o,2,1.5,23,598.0,500,0.0
o,2,1.5,24,637.0,500,0.0
o,2,1.5,25,940.0,500,0.0
o,2,1.5,26,752.0,500,0.0
o,2,1.5,27,635.0,500,0.0
o,2,1.5,28,755.0,500,0.0
o,2,1.5,29,887.0,500,0.0
o,2,2.0,0,935.0,500,0.0
o,2,2.0,1,398.0,500,0.0
o,2,2.0,2,933.0,500,0.0
o,2,2.0,3,936.0,500,0.0
o,2,2.0,4,937.0,500,0.0
o,2,2.0,5,827.0,500,0.0
o,2,2.0,6,606.0,500,0.0
o,2,2.0,7,875.0,500,0.0
o,2,2.0,8,782.0,500,0.0
o,2,2.0,9,739.0,500,0.0
o,2,2.0,10,876.0,500,0.0
o,2,2.0,11,928.0,500,0.0
o,2,2.0,12,546.0,500,0.0
o,2,2.0,13,1000.0,500,0.0
o,2,2.0,14,620.0,500,0.0
o,2,2.0,15,657.0,500,0.0
o,2,2.0,16,531.0,500,0.0
o,2,2.0,17,1000.0,500,0.0
o,2,2.0,18,582.0,500,0.0
o,2,2.0,19,474.0,500,0.0
o,2,2.0,20,1000.0,500,0.0
o,2,2.0,21,422.0,500,0.0
o,2,2.0,22,937.0,500,0.0
o,2,2.0,23,462.0,500,0.0
o,2,2.0,24,544.0,500,0.0
o,2,2.0,25,938.0,500,0.0
o,2,2.0,26,642.0,500,0.0
o,2,2.0,27,509.0,500,0.0
o,2,2.0,28,649.0,500,0.0
o,2,2.0,29,881.0,500,0.0
o,2,2.5,0,934.0,500,0.0
o,2,2.5,1,214.0,500,0.0
o,2,2.5,2,931.0,500,0.0
o,2,2.5,3,934.0,500,0.0
o,2,2.5,4,936.0,500,0.0
o,2,2.5,5,770.0,500,0.0
o,2,2.5,6,563.0,500,0.0
o,2,2.5,7,875.0,500,0.0
o,2,2.5,8,722.0,500,0.0
o,2,2.5,9,688.0,500,0.0
o,2,2.5,10,875.0,500,0.0
o,2,2.5,11,926.0,500,0.0
o,2,2.5,12,394.0,500,0.0
o,2,2.5,13,928.0,500,0.0
o,2,2.5,14,524.0,500,0.0
o,2,2.5,15,554.0,500,0.0
o,2,2.5,16,446.0,500,0.0
o,2,2.5,17,1000.0,500,0.0
o,2,2.5,18,433.0,500,0.0
o,2,2.5,19,339.0,500,0.0
o,2,2.5,20,1000.0,500,0.0
o,2,2.5,21,294.0,500,0.0
o,2,2.5,22,935.0,500,0.0
o,2,2.5,23,378.0,500,0.0
o,2,2.5,24,405.0,500,0.0
o,2,2.5,25,933.0,500,0.0
o,2,2.5,26,602.0,500,0.0
o,2,2.5,27,369.0,500,0.0
o,2,2.5,28,605.0,500,0.0
o,2,2.5,29,821.0,500,0.0
